loc,scientific.name,spp,tree,easting,northing,lat,lon,dbh.in,dwtot.lb
RF,Fagus grandifolia,AB,16,585505,4651019,42.00654912533174,-85.96745069991478,3.9,71.47803994
EL,Gleditsia triacanthos,HL,1,705059,4732427,42.71697332168871,-84.49572502409067,22.7,7813.231799
EL,Gleditsia triacanthos,HL,2,704622,4732301,42.71595623095792,-84.50110243012098,18.4,3313.827982
EL,Gleditsia triacanthos,HL,3,704850,4732521,42.7178747944537,-84.49824106148553,18,3565.922749
EL,Gleditsia triacanthos,HL,4,704711,4732398,42.71680522435823,-84.49998149371844,17,4003.809992
EL,Gleditsia triacanthos,HL,5,704675,4732371,42.71657189904166,-84.50043048886916,16.9,3289.905149
EL,Gleditsia triacanthos,HL,6,705076,4732456,42.71722969426483,-84.49550710666439,19.5,3832.677023
MC,Larix laricina,EL,1,715467,4667753,42.132280314603975,-84.39298019517712,4,70.86598837
MC,Larix laricina,EL,2,715474,4667750,42.132251399476466,-84.39289669196842,7.7,405.1748859
MC,Larix laricina,EL,3,715475,4667766,42.13239507853484,-84.39287869711467,9.1,527.2093135
